simulacion,n,hostname,procesador,ram_gb,python_version,algoritmo,tiempo,memoria_kb,nodos,solucion_encontrada
54,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.84000047435984e-05,1.3203125,16,True
54,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.169999399688095e-05,0.1484375,9,True
55,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.719999560620636e-05,1.3203125,16,True
55,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.120000474154949e-05,0.1484375,9,True
56,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.7599998652003706e-05,1.3203125,16,True
56,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.239999932702631e-05,0.1484375,9,True
57,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.780000017490238e-05,1.3203125,16,True
57,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.1400006264448166e-05,0.1484375,9,True
58,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.780000017490238e-05,1.3203125,16,True
58,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.460000152699649e-05,0.1484375,9,True
59,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.780000017490238e-05,1.3203125,16,True
59,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.1400006264448166e-05,0.1484375,9,True
60,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.7299996367655694e-05,1.3203125,16,True
60,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.169999399688095e-05,0.1484375,9,True
61,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.7900000936351717e-05,1.3203125,16,True
61,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.1800009310245514e-05,0.1484375,9,True
62,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.709999484475702e-05,1.3203125,16,True
62,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.1099989428184927e-05,0.1484375,9,True
63,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.6999994083307683e-05,1.3203125,16,True
63,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.170000854879618e-05,0.1484375,9,True
64,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.739999712910503e-05,1.3203125,16,True
64,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.1100003980100155e-05,0.1484375,9,True
65,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.710000939667225e-05,1.3203125,16,True
65,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.1100003980100155e-05,0.1484375,9,True
66,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.6899993321858346e-05,1.3203125,16,True
66,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.090000245720148e-05,0.1484375,9,True
67,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.6900007873773575e-05,1.3203125,16,True
67,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.090000245720148e-05,0.1484375,9,True
68,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.680000711232424e-05,1.3203125,16,True
68,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.1199990189634264e-05,0.1484375,9,True
69,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.679999256040901e-05,1.3203125,16,True
69,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.139999171253294e-05,0.1484375,9,True
70,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.710000939667225e-05,1.3203125,16,True
