simulacion,objetos,algoritmo,pesos,valores,capacidad,tiempo,memoria_kb,nodos,valor_optimo
44,10,DFS,"[15, 14, 15, 4, 4, 2, 13, 15, 7, 12]","[26, 2, 12, 22, 22, 12, 18, 28, 20, 5]",40,0.0009338000090792775,0.328125,843,110
45,10,BFS,"[15, 4, 3, 13, 15, 1, 12, 6, 15, 13]","[30, 28, 26, 6, 14, 6, 30, 26, 14, 22]",38,0.0011769999982789159,24.2734375,891,132
45,10,DFS,"[15, 4, 3, 13, 15, 1, 12, 6, 15, 13]","[30, 28, 26, 6, 14, 6, 30, 26, 14, 22]",38,0.0009260000078938901,0.328125,891,132
46,10,BFS,"[14, 13, 5, 13, 2, 14, 14, 4, 14, 8]","[24, 8, 6, 23, 13, 2, 16, 7, 30, 12]",40,0.000978900003246963,22.7265625,774,80
46,10,DFS,"[14, 13, 5, 13, 2, 14, 14, 4, 14, 8]","[24, 8, 6, 23, 13, 2, 16, 7, 30, 12]",40,0.0008079999824985862,0.328125,774,80
47,10,BFS,"[5, 13, 4, 1, 4, 6, 14, 13, 6, 9]","[27, 28, 8, 22, 13, 9, 3, 9, 21, 13]",30,0.0011477000080049038,25.484375,891,111
47,10,DFS,"[5, 13, 4, 1, 4, 6, 14, 13, 6, 9]","[27, 28, 8, 22, 13, 9, 3, 9, 21, 13]",30,0.0010044000227935612,0.359375,891,111
48,10,BFS,"[11, 9, 1, 15, 3, 5, 2, 7, 12, 6]","[27, 11, 4, 9, 19, 2, 20, 12, 26, 14]",28,0.0010998999932780862,24.96875,842,92
48,10,DFS,"[11, 9, 1, 15, 3, 5, 2, 7, 12, 6]","[27, 11, 4, 9, 19, 2, 20, 12, 26, 14]",28,0.0009160000481642783,0.3828125,842,92
49,10,BFS,"[10, 2, 15, 4, 1, 7, 9, 13, 11, 12]","[17, 13, 19, 9, 23, 1, 30, 18, 24, 24]",33,0.0011018000077456236,23.4453125,890,107
49,10,DFS,"[10, 2, 15, 4, 1, 7, 9, 13, 11, 12]","[17, 13, 19, 9, 23, 1, 30, 18, 24, 24]",33,0.0009070000378414989,0.3671875,890,107
50,10,BFS,"[11, 6, 2, 15, 10, 11, 2, 15, 9, 11]","[7, 14, 22, 11, 11, 28, 24, 10, 10, 14]",36,0.0010312999947927892,22.5703125,829,102
50,10,DFS,"[11, 6, 2, 15, 10, 11, 2, 15, 9, 11]","[7, 14, 22, 11, 11, 28, 24, 10, 10, 14]",36,0.0009185000089928508,0.328125,829,102
